Question,Equation,Answer,Numbers
"Faye was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars , how much money did she earn ?",* number1 + number0 number1,70.0,3.0 7.0 7.0
Gloria has number0 boxes of tickets . Each box holds number1 tickets and there are number2 boxes in a case . How many tickets does Gloria have ?,* number0 number1,45.0,9.0 5.0 10.0
"Wendy bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together , how many minutes did it take her to finish ?",* number2 + number0 number1,48.0,4.0 4.0 6.0
The farmer had number0 apples . The farmer gave number1 apples to his neighbor . How many apples does the farmer have now ?,- number0 number1,39.0,127.0 88.0
Tim has number0 books . Sam has number1 books . How many books do they have together ?,+ number0 number1,96.0,44.0 52.0
Fred has number0 baseball cards . Melanie bought number1 of Fred 's baseball cards . How many baseball cards does Fred have now ?,- number0 number1,2,5.0 3.0
"If Victor split number0 Skittles between number1 people in her class and kept the left overs , how many Skittles did each classmate get ?",/ number0 number1,5.0,25.0 5.0
"Rachel was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",* number0 + number1 number2,72.0,9.0 6.0 2.0
A marine biologist measured one fish that was number0 of a foot long and a second fish that was number1 of a foot long . How much longer was the first fish ?,- number0 number1,0.1,0.3 0.2
I walk number0 mile every number1 minutes . I walked number2 miles . How many minutes did it take me ?,* number1 number2,45.0,1.0 15.0 3.0
There are number0 calories in a candy bar . How many calories are there in number1 candy bars ?,* number0 number1,15.0,3.0 5.0
"Maggie bought number0 packs of red bouncy balls , number1 packs of yellow bouncy balls , and number2 packs of green bouncy balls . There were number3 bouncy balls in each package . How many bouncy balls did Maggie buy in all ?",* + + number0 number1 number2 number3,160.0,4.0 8.0 4.0 10.0
"A vase can hold number0 flowers . If you had number1 carnations and number2 roses , how many vases would you need to hold the flowers ?",/ + number1 number2 number0,5.0,5.0 6.0 19.0
A spaceship traveled number0 light - year from Earth to Planet X and number1 light - year from Planet X to Planet Y. Then it traveled number2 light - year from Planet Y back to Earth . How many light - years did the spaceship travel in all ?,+ + number0 number1 number1,0.7,0.5 0.1 0.1
"Melanie , Benny , Sandy , and Jessica each have number0 dozen Pokemon cards . How many Pokemon cards do they have in all ?",* 4 * number0 12,432.0,9.0
"At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids , how much would it cost for the group to eat ?",* number0 - number1 number2,72.0,8.0 11.0 2.0
Luke was selling his old games . He started out with number0 but sold number1 of them . He packed the rest up putting number2 games into each box . How many boxes did he have to use ?,/ - number0 number1 number2,5.0,39.0 19.0 4.0
"There are number0 gallons of water in Becky 's fish tank . If Becky adds number1 gallons more , how many gallons will there be in all ?",+ number0 number1,14.75,7.75 7.0
Each ticket costs $ number0 . How much do number1 tickets cost ?,* number0 number1,36.0,9.0 4.0
Tanner saved $ number0 in September . He saved $ number1 in October and $ number2 in November . Then Tanner spent $ number3 on a video game . How much money does Tanner have left ?,- + + number0 number1 number2 number3,41.0,17.0 48.0 25.0 49.0
"A painter needed to paint number0 rooms in a building . Each room takes number1 hours to paint . If he already painted number2 rooms , how much longer will he take to paint the rest ?",* number1 - number0 number2,63.0,11.0 7.0 2.0
"Joan grew number0 pumpkins , Keith grew number1 pumpkins , and Alyssa grew number2 pumpkins . They worked for number3 days on the farm . How many pumpkins did they grow in all ?",+ + number0 number1 number2,79,24.0 42.0 13.0 34.0
"A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window , how long will it take him to install the rest ?",* number2 - number0 number1,56.0,11.0 4.0 8.0
"Last Saturday , Spencer walked all over town running errands . First , he walked number0 mile from his house to the library and number1 mile from the library to the post office . Then he walked number2 mile from the post office back home . How many miles did Spencer walk in all ?",+ + number0 number1 number2,0.8,0.3 0.1 0.4
Joan had number0 dimes in her bank . She spent number1 of her dimes . How many dimes does she have now ?,- number0 number1,3,5.0 2.0
Ellen went to a garage sale to buy chairs . Each chair is number0 dollars . How much did Ellen spend for the number1 chairs she bought ?,* number0 number1,180.0,15.0 12.0
"There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives , how many lives did they have total ?",* number2 + number0 number1,24.0,2.0 2.0 6.0
"Vanessa had number0 music files and number1 video files on her flash drive . If she deleted number2 of the files , how many files were still on her flash drive ?",- + number0 number1 number2,33.0,13.0 30.0 10.0
Ralph collects number0 cards . Ralph 's father gives Ralph number1 more . How many cards does Ralph have ?,+ number0 number1,12.0,4.0 8.0
"If Karen sold number0 boxes of Tagalongs , how many cases of number1 boxes does Karen pickup from the cookie mom ?",/ number0 number1,3.0,36.0 12.0
"A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each , how many tables do they need ?",/ - number0 number1 number2,8.0,47.0 7.0 5.0
"Marilyn has number0 bananas that must be put away in boxes . Daniel comes to help and brings number1 cookies to share with Marilyn . If there are number2 boxes , how many bananas must go in each box ?",/ number0 number2,5.0,40.0 10.0 8.0
"A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points , how many points were scored total ?",* number2 - number0 number1,27.0,15.0 6.0 3.0
Connie has number0 marbles . Juan has number1 more marbles than Connie . How many marbles does Juan have ?,+ number0 number1,498.0,323.0 175.0
Brett drove number0 miles every hour . How many miles would he drive in number1 hours ?,* number0 number1,440.0,55.0 8.0
There are number0 walnut trees currently in the park . Park workers will plant number1 walnut trees today . How many walnut trees will the park have when the workers are finished ?,+ number0 number1,10,4.0 6.0
"There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives , how many lives did they have total ?",* number2 + number0 number1,60.0,8.0 2.0 6.0
"Megan had number0 homework problems . She finished number1 of them but still had number2 pages of problems to do . If each page has the same number of problems on it , how many problems are on each page ?",/ - number0 number1 number2,7.0,40.0 26.0 2.0
"Sam invited number0 friends to a birthday party , but number1 could n't come . If he wanted to buy enough cupcakes so each person could have exactly number2 , how many should he buy ?",* number2 - number0 number1,6.0,9.0 6.0 2.0
Isabella ’s hair is number0 inches long . By the end of the year her hair is number1 inches long . How much hair did she grow ?,- number1 number0,6.0,18.0 24.0
There are number0 scissors in the drawer . Keith placed number1 more scissors in the drawer . How many scissors are now there in all ?,+ number0 number1,76.0,54.0 22.0
"There are number0 people on the Green Bay High track team . If a relay race is number1 meters long , how far will each team member have to run ?",/ number1 number0,30.0,5.0 150.0
"Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Zoe sold all but number2 bars , how much money would she have made ?",* number0 - number1 number0,42.0,6.0 13.0 6.0
Jason has number0 Pokemon cards . Alyssa bought number1 of Jason 's Pokemon cards . How many Pokemon cards does Jason have now ?,- number0 number1,452,676.0 224.0
Nancy 's old washing machine could only wash number0 pieces of clothing at a time . If she had to wash number1 shirts and number2 sweaters how many loads would she have to do ?,/ + number1 number2 number0,3.0,9.0 19.0 8.0
A candy store has number0 boxes of chocolates . Each box has number1 pieces . How many pieces are there altogether in the boxes ?,* number0 number1,3000.0,6.0 500.0
There are number0 erasers in a box . Ernest has number1 erasers in a bag . Mark takes number2 erasers out of the box . How many erasers are left in the box ?,- number0 number2,0.0,97.0 17.0 97.0
