Question,Equation,Answer,Numbers
while heating the wings charlie decided to make metal supports for the wings . if he needs number0 lbs of metal and he has number1 lbs in storage how much additional metal does he need to buy ?,- number0 number1,359.0,635.0 276.0
number0 red apples and number1 green apples are in the basket . how many apples are in the basket ?,+ number0 number1,9.0,7.0 2.0
there were number0 girls and number1 boys on the playground at recess . how many children were there in all ?,+ number0 number1,63.0,28.0 35.0
they also prepared some chips . if he prepared number0 grams of chips and his father prepared number1 grams how much chips should his brother prepare if they are to have number2 grams of chips ?,- number2 + number0 number1,182.0,350.0 268.0 800.0
"The school cafeteria had number0 apples . If they used number1 to make lunch for the students and then bought number2 more , how many apples would they have ?",- + number0 number2 number1,9.0,23.0 20.0 6.0
"At the arcade , Tom won number0 tickets playing ' whack a mole ' and number1 tickets playing ' skee ball ' . If he spent number2 of his tickets on a hat , how many tickets does Tom have left ?",- + number0 number1 number2,50.0,32.0 25.0 7.0
mr. lee harvested number0 apples and he packed them evenly in some baskets . if there are number1 apples in each basket how many baskets of apples are there ?,/ number0 number1,19.8,495.0 25.0
Sally has number0 blue balloons . Fred has number1 times more blue balloons than Sally . How many blue balloons does Fred have now ?,* number0 number1,18.0,6.0 3.0
Adam has $ number0 to buy an airplane that costs $ number1 . How much change will he get ?,- number0 number1,0.72,5.0 4.28
"A waiter at ' The Greasy Spoon ' restaurant had number0 customers to wait on . During the lunch rush he added another number1 customers . If number2 of the customers did n't leave him a tip , how many customers did leave a tip ?",- + number0 number1 number2,15.0,29.0 20.0 34.0
paige was helping her mom plant flowers and together they planted number0 seeds . if they put number1 seeds in each flower bed how many flower beds did they have ?,/ number0 number1,9.0,54.0 6.0
"Mary loves eating fruits . Mary paid $ number0 for berries , $ number1 for apples , and $ number2 for peaches . In total , how much money did she spend ?",+ + number0 number1 number2,34.72,11.08 14.33 9.31
paco had number0 cookies . he ate number1 of them . how many cookies did paco have left ?,- number0 number1,29.0,35.0 6.0
"Joan has number0 blue balloons , Sally has number1 blue balloons , and Jessica has number2 blue balloons . How many blue balloons do they have in total ?",+ + number0 number1 number2,16.0,9.0 5.0 2.0
"While shopping for music online , Megan bought number0 country albums and number1 pop albums . Each album came with a lyric sheet and had number2 songs . How many songs did Megan buy total ?",* + number0 number1 number2,70.0,2.0 8.0 7.0
"The number of inquiries the first week was number0 . The number of inquiries in the fourth week was number1 . Find the average rate of change in number of inquiries from the first week to the fourth week , in inquiries per week .",/ - number1 number0 - 4.0 1.0,21.3333,15.0 79.0
Katie had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one . How many folders did Katie end up with ?,/ - number0 number1 number2,9.0,85.0 40.0 5.0
there are number0 bananas in philip 's banana collection . if the bananas are organized into number1 groups how big is each group ?,/ number0 number1,37.0,407.0 11.0
Kaleb was selling his old games . He started out with number0 but sold number1 of them . He packed the rest up putting number2 games into each box . How many boxes did he have to use ?,/ - number0 number1 number2,6.0,76.0 46.0 5.0
at the town carnival billy rode the ferris wheel number0 times and the bumper cars number1 times . if each ride cost number2 tickets how many tickets did he use ?,* + number0 number1 number2,50.0,7.0 3.0 5.0
after eating a hearty meal they went to see the buckingham palace . there rachel learned that number0 visitors came to the palace that day . if there were number1 visitors the previous day how many visited the palace within number2 days ?,+ number0 number1,829.0,583.0 246.0 2.0
hayley had number0 meatballs on her plate . kirsten stole some of her meatballs . now she has number1 meatballs on her plate . how many meatballs did kirsten steal ?,- number0 number1,14.0,25.0 11.0
Carol was playing a trivia game . In the first round she scored number0 points and in the second round she scored number1 points . In the last round she lost number2 points . How many points did she have at the end of the game ?,- + number0 number1 number2,7.0,17.0 6.0 16.0
"Sally found number0 seashells , Tom found number1 seashells , and Jessica found number2 seashells on the beach . How many seashells did they find together ?",+ + number0 number1 number2,21.0,9.0 7.0 5.0
Haley was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each . How many small gardens did Haley have ?,/ - number0 number1 number2,7.0,56.0 35.0 3.0
James ate number0 carrot sticks before dinner and number1 more after dinner . How many carrot sticks did he eat ?,+ number0 number1,37.0,22.0 15.0
Evelyn starts with number0 Skittles . She shares number1 with Christine . How many Skittles does Evelyn end with ?,- number0 number1,4.0,76.0 72.0
it takes mike number0 minutes to walk to school . if he rides a bicycle to school it would save him number1 minutes . how much time did mike save ?,- number0 number1,34.0,98.0 64.0
Mrs. Hilt bought an ice cream cone for number0 cents . How much would number1 ice cream cones cost ?,* number0 number1,198.0,99.0 2.0
"Billy was organizing his baseball cards in a binder with number0 on each page . If he had number1 new cards and number2 old cards to put in the binder , how many pages would he use ?",/ + number1 number2 number0,9.0,5.0 3.0 42.0
after the day they were able to make number0 institutions happy . if each institution has number1 people . how many people were made happy by the mayor and vice-mayor ?,* number0 number1,480.0,6.0 80.0
Tyler had number0 dogs . Each dog had number1 puppies . How many puppies does Tyler now have ?,* number0 number1,75.0,15.0 5.0
Stephanie went to the store number0 times last month . She buys number1 oranges each time she goes to the store . How many oranges did Stephanie buy last month ?,* number0 number1,16.0,8.0 2.0
the elephant had number0 peanuts . she ate number1 of them . how many peanuts did the elephant have left ?,- number0 number1,278.0,407.0 129.0
anthony gets number0 cents every day for lunch . he bought a juice box for number1 cents . he also bought a cupcake . anthony had number2 cents left . how much did the cupcake cost ?,- - number0 number1 number2,40.0,75.0 27.0 8.0
"Wendy was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level , how many lives would she have ?",- + number0 number2 number1,74.0,43.0 8.0 39.0
Mike has number0 baseball cards . Sam bought number1 of Mike 's baseball cards . How many baseball cards does Mike have now ?,- number0 number1,74,87.0 13.0
a museum had number0 paintings . after they got rid of some they had number1 left . what 's the difference between the number of paintings before they got rid of and the left ?,- number0 number1,10.0,14.0 4.0
"At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids , how much would it cost for the group to eat ?",* - number1 number2 number0,12.0,2.0 15.0 9.0
"Isabella ’ s hair is number0 inches long . If she gets a haircut and now her hair is number1 inches long , how much of Isabella ’ s hair got cut off ?",- number0 number1,9.0,18.0 9.0
"While playing a trivia game , Mike answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?",* + number0 number1 number0,24.0,3.0 5.0 3.0
"Each year , salmon travel upstream , going from the ocean to the rivers where they were born . This year , number0 male and number1 female salmon returned to their rivers . How many salmon made the trip ?",+ number0 number1,971639.0,712261.0 259378.0
